Sample,X,Y,Z
179,0.3137,-0.0848,1.0019
180,-0.5520,-0.0071,0.7529
181,-0.0776,0.0850,1.0095
182,0.8871,0.0132,1.3201
183,0.5184,-0.0489,1.0242
184,0.1058,-0.0940,0.9280
185,-0.5941,0.0705,0.8985
186,-0.4291,0.1077,1.1426
187,0.2061,-0.0176,1.1647
188,0.2301,-0.1267,0.9792
189,0.0395,-0.0226,0.9033
190,-0.5131,0.0592,0.8777
191,-0.2885,0.1137,1.1885
192,0.5204,-0.0859,1.3469
193,0.3210,-0.0739,0.9144
194,-0.1440,-0.0095,0.7596
195,-0.1523,0.0664,1.0471
196,0.3434,0.1293,1.1198
197,0.6544,-0.0002,1.0379
198,0.4940,-0.0809,0.9891
199,0.0784,-0.0206,1.0909
200,-0.0989,0.1445,0.9672
201,0.3127,0.0175,1.1558
202,0.4706,-0.0826,1.1626
203,0.2022,-0.0615,0.8052
204,-0.2176,0.1134,0.8516
205,-0.3172,0.0677,1.1494
206,-0.0787,-0.0408,1.1706
207,0.1645,-0.0107,0.9972
208,0.2322,-0.0229,0.9878
209,-0.0247,0.0388,0.9866
210,-0.4368,0.1209,1.1321
211,-0.1594,-0.0175,1.0554
212,0.3868,-0.1318,1.0842
213,0.3507,0.0197,0.9454
214,0.2375,0.0081,0.9065
215,-0.1520,0.0969,0.9919
216,-0.1302,-0.0468,1.1747
217,0.5869,-0.0662,1.0579
218,0.5422,0.0231,1.0416
219,0.4235,-0.0036,0.9863
220,-0.1451,0.0534,0.9846
221,-0.4930,0.0739,1.0261
222,0.4863,-0.1219,1.2043
223,0.5493,0.0400,1.0082
224,0.2080,-0.0374,0.9573
225,-0.5720,0.0310,0.8792
226,-0.8990,0.0981,1.0419
227,0.3719,-0.1122,1.2040
228,0.7850,0.0273,1.0759
229,0.2403,-0.1011,0.9654
230,-0.5286,0.0537,0.8574
231,-0.6356,0.0575,1.0744
232,0.4194,0.0076,1.2827
233,0.8708,0.0102,0.9768
234,0.3813,-0.0856,0.9250
235,-0.5344,0.1245,0.7709
236,-0.2408,0.1098,1.1411
237,0.6913,-0.0081,1.2269
238,0.8872,-0.0165,1.0369
239,0.1725,-0.0232,0.9042
240,-0.2831,0.0195,0.9537
241,-0.3043,0.1098,1.1057
242,0.3643,-0.0594,1.2177
243,0.4899,-0.0647,0.9135
244,0.0239,-0.1061,0.8525
245,-0.3690,0.0549,1.0466
246,-0.1484,0.0739,1.1919
247,0.2259,-0.0354,1.2065
248,0.1886,-0.0906,0.8582
249,-0.0903,-0.0374,0.9495
250,-0.1708,0.1089,0.9676
251,0.0804,0.0715,1.2462
252,0.3351,-0.0480,0.9425
253,0.4028,-0.0947,1.0834
254,0.1807,0.0801,0.8091
255,-0.0235,0.1167,1.1541
256,0.0366,0.0667,1.0867
257,0.3461,-0.1275,1.1830
258,0.3398,0.0238,0.7911
259,-0.0314,-0.0152,0.9659
260,-0.0609,0.0691,1.0639
261,0.0468,-0.0202,1.1797
262,0.1182,0.0067,1.0231
263,0.1412,-0.0760,0.9810
264,-0.0073,0.0162,1.0742
265,-0.0376,0.0610,1.0143
266,-0.1725,0.0173,1.0295
267,0.0346,-0.0073,0.9519
268,0.1812,-0.0099,1.0452
269,0.0770,0.1007,0.9299
270,-0.0259,-0.0376,1.0850
271,0.0889,-0.0013,1.0967
272,0.3073,-0.0146,1.1282
273,0.1525,0.0804,0.9344
274,0.1589,-0.0294,1.0885
275,0.1609,-0.0049,1.0381
276,0.1823,0.0224,1.0324
277,0.1849,0.0023,1.0188
278,0.1694,0.0107,1.0863
279,0.0000,0.0601,0.9919
280,0.1396,-0.0325,0.9983
281,0.2563,0.0011,1.0726
282,0.1722,-0.0162,1.1166
283,-0.0936,0.0603,0.8943
284,-0.1762,-0.0186,1.0296
285,0.0204,-0.0272,1.1052
286,0.1842,0.0209,1.0083
287,0.1626,-0.0205,0.9636
288,-0.0007,0.0001,1.0554
289,-0.0385,0.0343,1.0017
290,-0.0659,0.0635,1.0223
291,0.1648,0.0013,1.1551
292,0.2849,-0.0054,1.0396
293,0.1326,0.0248,0.8994
294,0.0961,0.0405,0.9855
295,0.1309,0.0165,1.1240
296,0.0151,0.0561,1.0093
297,0.0228,0.0026,1.0629
298,0.1462,-0.0247,0.9339
299,0.1569,-0.0107,1.0406
300,0.1359,0.0631,0.9922
301,0.0653,-0.0019,1.0771
302,-0.1122,-0.0106,1.0457
303,-0.0179,-0.0021,1.0862
304,0.3022,-0.0093,0.9648
305,0.2051,-0.0142,1.0804
306,-0.0254,-0.0137,0.9952
307,-0.0569,0.0234,0.9885
308,0.0554,0.0026,1.0550
309,0.2560,-0.0247,1.1367
310,0.3066,-0.0284,0.9507
311,0.1215,0.0198,1.0128
312,-0.0178,0.0421,0.9963
313,0.0319,0.0168,1.0513
314,0.1176,0.0336,1.0477
315,0.2420,-0.0271,1.0033
316,0.1855,0.0170,0.9842
317,0.0461,0.0355,0.9897
318,-0.0253,0.0029,1.0834
319,-0.1255,0.0209,1.1153
320,0.1028,-0.0171,1.0378
321,0.1866,0.0187,0.9846
322,0.0507,-0.0139,1.0178
323,-0.0150,0.0214,0.9758
324,-0.1235,0.0131,1.0811
325,0.1099,-0.0391,1.0195
326,0.3295,-0.0043,1.0534
327,0.1279,0.0485,1.0161
328,-0.0316,0.0114,1.0461
329,0.0538,-0.0116,1.0226
330,0.1703,-0.0239,1.0840
331,0.3385,0.0043,1.0032
332,0.1058,0.0512,0.9729
333,0.0273,-0.0060,0.9972
334,-0.0656,-0.0139,1.0810
335,0.0715,0.0270,1.0670
336,0.3989,0.0267,1.0707
337,0.2155,0.0432,0.9839
338,0.0121,0.0269,0.9998
339,-0.2197,0.0231,1.0895
340,0.0680,-0.0023,1.0204
341,0.3931,-0.0105,1.0520
342,0.3405,0.0350,0.8881
343,-0.2216,0.0629,1.0166
344,-0.4805,0.0313,1.0945
345,0.2014,-0.0147,1.1266
346,0.4831,-0.0250,1.0745
347,0.1931,-0.0345,0.9435
348,-0.3659,0.0646,0.9105
349,-0.2571,0.0879,1.0447
350,0.2739,-0.0232,1.1998
351,0.5972,-0.0555,1.0845
352,0.2490,-0.0775,0.9414
353,-0.3608,0.0698,0.9158
354,-0.0599,0.0327,1.0862
355,0.3129,-0.0119,1.1438
356,0.4860,-0.0181,0.9951
357,0.1269,0.0493,0.9132
358,-0.1024,0.0373,0.9784
359,0.0302,0.0889,1.0903
360,0.3240,0.0336,1.1475
361,0.2575,-0.0182,0.9719
362,-0.0314,0.0368,0.8977
363,-0.2551,0.0291,1.0573
364,0.1159,0.0413,1.1640
365,0.2194,-0.0399,1.0909
366,0.0851,-0.0711,0.9664
367,-0.0687,-0.0392,0.9552
368,-0.0759,0.0615,1.0642
369,0.1701,0.0375,1.0735
370,0.2395,-0.0430,1.0477
371,0.0551,-0.0793,0.9589
372,-0.0786,0.0143,0.9804
373,0.0930,0.0553,1.0872
374,0.2067,0.0054,1.1443
375,-0.0251,-0.0099,0.9329
376,0.0362,-0.0944,1.0470
377,0.2717,0.0860,0.9265
378,0.2106,0.0192,1.1656
379,-0.0060,0.0261,1.0141
380,0.1177,-0.0735,1.0835
381,0.2123,0.0494,0.8960
382,0.3137,0.0222,1.0867
383,0.0842,0.0197,0.9949
384,-0.0224,-0.0366,1.0952
385,0.2462,0.0404,0.9154
386,0.2353,-0.0414,1.1338
387,-0.0444,0.0742,0.9546
388,0.0179,-0.0579,1.0641
389,0.0412,-0.0039,0.9839
390,-0.0310,0.0297,1.1216
391,-0.0602,0.0682,0.9351
392,-0.0327,-0.0325,1.1267
393,0.0862,-0.0028,1.0226
394,-0.0032,0.0363,1.0009
395,-0.0080,-0.0076,0.9713
396,0.0062,0.0241,1.1292
397,0.1990,0.0343,0.9023
398,0.1603,0.0023,1.1053
399,0.2922,-0.0332,0.9816
400,0.3132,-0.0275,1.2136
401,0.2986,0.0811,0.8879
402,0.1725,0.0018,1.1266
403,0.0551,-0.0793,0.9589
404,0.1417,0.0021,0.9357
405,0.2641,0.0369,1.1211
406,0.2654,0.0793,0.8600
407,0.0796,-0.0354,1.0598
408,-0.0887,0.0239,0.9441
409,0.0377,0.0339,1.0876
410,0.1872,0.0248,0.9977
411,0.0658,-0.1088,1.1641
412,-0.1321,-0.0474,1.0414
413,-0.2134,0.0056,1.0031
414,-0.1047,0.0236,1.0416
415,-0.0222,-0.0818,1.1375
