Sample,X,Y,Z
0,-0.0020,0.0060,0.4026
1,-0.0173,-0.0012,1.0003
2,-0.0156,0.0065,1.0189
3,-0.0188,0.0173,1.0305
4,0.0197,0.0095,1.0270
5,0.0100,-0.0011,1.0244
6,0.0115,0.0063,1.0048
7,-0.0261,0.0183,1.0163
8,-0.0319,0.0153,1.0337
9,-0.0063,0.0048,1.0524
10,0.0466,0.0004,1.0278
11,0.0116,-0.0095,1.0347
12,-0.0305,-0.0114,1.0162
13,-0.0396,0.0060,1.0270
14,-0.0141,0.0082,1.0363
15,0.0172,-0.0004,1.0458
16,0.0115,0.0063,1.0208
17,-0.0193,0.0142,1.0247
18,-0.0207,0.0041,1.0156
19,-0.0001,0.0165,1.0249
20,-0.0212,0.0339,1.0267
21,-0.0102,0.0151,1.0432
22,0.0067,0.0134,1.0151
23,-0.0056,0.0120,1.0248
24,-0.0176,0.0014,1.0339
25,-0.0168,0.0095,1.0256
26,-0.0377,0.0118,1.0399
27,0.0070,0.0004,1.0450
28,0.0197,-0.0026,1.0442
29,-0.0065,-0.0024,1.0223
30,-0.0337,0.0071,1.0233
31,-0.0107,0.0001,1.0212
32,-0.0193,0.0323,1.0381
33,0.0102,0.0037,1.0264
34,0.0055,0.0060,1.0329
35,-0.0070,0.0062,1.0082
36,-0.0201,0.0206,1.0137
37,-0.0139,0.0128,1.0296
38,-0.0171,0.0188,1.0405
39,0.0000,0.0007,1.0287
40,0.0228,0.0015,1.0237
41,0.0048,-0.0181,0.9993
42,-0.0181,0.0099,1.0295
43,-0.0264,0.0079,1.0294
44,-0.0117,0.0077,1.0322
45,0.0190,0.0044,1.0198
46,-0.0031,0.0095,1.0285
47,-0.0043,0.0054,1.0231
48,-0.0192,0.0202,1.0195
49,-0.0220,0.0197,1.0294
50,-0.0009,0.0100,1.0300
51,0.0186,0.0171,1.0242
52,0.0063,0.0085,1.0277
53,-0.0092,0.0062,1.0300
54,-0.0109,0.0121,1.0244
55,-0.0292,0.0181,1.0344
56,0.0052,0.0007,1.0427
57,-0.0009,-0.0010,1.0374
58,-0.0085,-0.0013,1.0153
59,-0.0157,0.0050,1.0297
60,-0.0060,0.0126,1.0305
61,-0.0201,0.0229,1.0390
62,0.0180,0.0099,1.0175
63,0.0121,0.0044,1.0222
64,-0.0009,0.0088,1.0126
65,-0.0232,0.0139,1.0249
66,-0.0132,0.0067,1.0260
67,-0.0142,0.0114,1.0340
68,0.0115,0.0008,1.0225
69,-0.0046,0.0016,1.0327
70,-0.0111,-0.0004,1.0182
71,-0.0212,0.0079,1.0317
72,-0.0068,0.0129,1.0367
73,-0.0136,0.0016,1.0419
74,0.0019,0.0023,1.0152
75,-0.0129,0.0080,1.0303
76,-0.0145,0.0003,1.0191
77,-0.0123,0.0182,1.0219
78,-0.0236,0.0197,1.0292
79,-0.0001,0.0128,1.0386
80,-0.0192,0.0202,1.0195
81,0.0088,0.0080,1.0310
82,0.0009,0.0082,1.0263
83,-0.0063,0.0094,1.0312
84,-0.0222,0.0199,1.0288
85,-0.0278,0.0175,1.0381
86,0.0157,-0.0068,1.0393
87,0.0170,0.0013,1.0236
88,-0.0123,0.0021,1.0167
89,-0.0302,0.0055,1.0283
90,-0.0169,0.0143,1.0378
91,-0.0233,0.0267,1.0434
92,0.0084,0.0092,1.0342
93,0.0102,0.0109,1.0265
94,-0.0038,0.0083,1.0063
95,-0.0233,0.0187,1.0283
96,0.0010,0.0080,1.0312
97,-0.0057,0.0175,1.0362
98,0.0204,0.0056,1.0244
99,-0.0001,0.0058,1.0396
100,-0.0041,-0.0154,1.0125
101,-0.0208,0.0052,1.0359
102,-0.0101,-0.0014,1.0375
103,-0.0115,0.0079,1.0447
104,0.0034,-0.0002,1.0334
105,0.0042,0.0024,1.0375
106,-0.0051,-0.0070,1.0268
107,-0.0319,0.0165,1.0186
108,-0.0281,0.0214,1.0293
109,-0.0031,0.0135,1.0301
110,0.0250,0.0124,1.0165
111,0.0041,0.0121,1.0182
112,-0.0129,0.0079,1.0097
113,-0.0207,0.0212,1.0161
114,-0.0281,0.0205,1.0464
115,0.0187,0.0043,1.0400
116,0.0345,0.0013,1.0277
117,0.0676,-0.0091,1.0158
118,0.2433,-0.0106,1.0449
119,0.3137,0.0218,1.0330
120,0.2124,0.0254,1.0424
121,0.1970,0.0185,1.0284
122,0.2939,-0.0122,1.0638
123,0.3962,0.0125,0.9949
124,0.3339,0.0163,0.9830
125,0.2114,0.0270,0.9874
126,0.0895,0.0416,1.0434
127,0.1181,0.0285,1.0539
128,0.1191,-0.0117,1.0829
129,-0.0089,-0.0142,1.0217
130,-0.2437,0.0048,0.9871
131,-0.3398,0.0169,0.9911
132,-0.2307,-0.0109,1.0565
133,-0.0709,-0.0291,1.0604
134,-0.0933,-0.0186,1.0240
135,-0.1301,-0.0080,1.0071
136,0.0014,0.0096,1.0567
137,0.2817,0.0295,1.0634
138,0.4799,0.0193,1.0281
139,0.5333,0.0057,1.0034
