Sample,X,Y,Z
0,-0.0034,0.0189,1.1028
1,0.0057,-0.0029,1.0029
2,0.0029,0.0038,1.0165
3,0.0090,-0.0076,1.0234
4,-0.0117,0.0063,1.0275
5,-0.0151,0.0069,1.0383
6,-0.0070,0.0060,1.0362
7,0.0131,-0.0037,1.0268
8,0.0160,0.0063,1.0120
9,-0.0014,-0.0040,1.0281
10,-0.0200,0.0049,1.0291
11,-0.0226,0.0087,1.0414
12,0.0030,-0.0002,1.0352
13,0.0026,0.0012,1.0197
14,0.0188,-0.0028,1.0215
15,-0.0094,0.0027,1.0290
16,-0.0165,0.0080,1.0323
17,-0.0245,0.0161,1.0393
18,0.0012,0.0032,1.0342
19,0.0000,0.0093,1.0163
20,0.0148,0.0019,1.0015
21,-0.0153,0.0080,1.0198
22,-0.0131,0.0149,1.0273
23,-0.0163,0.0157,1.0413
24,0.0021,0.0059,1.0392
25,-0.0010,0.0062,1.0238
26,0.0055,0.0002,1.0164
27,-0.0273,0.0057,1.0255
28,-0.0137,0.0100,1.0357
29,-0.0217,0.0118,1.0391
30,-0.0049,0.0065,1.0307
31,-0.0019,0.0042,1.0236
32,0.0149,-0.0096,1.0354
33,-0.0255,0.0136,1.0303
34,-0.0251,0.0067,1.0381
35,-0.0165,0.0079,1.0464
36,0.0023,0.0010,1.0247
37,-0.0016,0.0094,1.0100
38,0.0031,-0.0007,1.0144
39,-0.0157,0.0096,1.0272
40,-0.0090,0.0163,1.0493
41,-0.0081,0.0109,1.0483
42,0.0136,-0.0035,1.0340
43,0.0063,0.0026,1.0052
44,-0.0082,-0.0039,1.0215
45,-0.0162,0.0140,1.0281
46,-0.0300,0.0137,1.0552
47,0.0023,0.0041,1.0320
48,0.0094,0.0043,1.0277
49,0.0003,0.0114,1.0129
50,-0.0142,0.0111,1.0248
51,-0.0100,0.0112,1.0326
52,-0.0195,0.0180,1.0362
53,0.0034,0.0107,1.0189
54,-0.0024,0.0138,1.0107
55,0.0087,0.0073,1.0129
56,-0.0163,0.0060,1.0308
57,-0.0217,0.0077,1.0280
58,-0.0150,0.0131,1.0433
59,0.0000,0.0052,1.0400
60,-0.0223,0.0095,1.0331
61,-0.0021,0.0032,1.0088
62,-0.0140,0.0006,1.0178
63,0.0011,0.0091,1.0288
64,-0.0146,0.0207,1.0352
65,-0.0136,0.0071,1.0325
66,-0.0168,0.0052,1.0255
67,0.0134,-0.0014,1.0107
68,-0.0179,0.0096,1.0229
69,-0.0219,0.0156,1.0425
