Sample,X,Y,Z
0,0.0007,0.0267,1.4556
1,-0.0125,0.0090,0.9932
2,-0.0165,0.0027,1.0396
3,-0.0095,0.0171,1.0481
4,0.0038,-0.0038,1.0322
5,-0.0058,-0.0016,1.0225
6,0.0006,-0.0013,1.0170
7,-0.0129,0.0054,1.0349
8,-0.0103,0.0056,1.0342
9,0.0070,0.0076,1.0259
10,0.0079,0.0032,1.0306
11,-0.0029,0.0067,1.0336
12,0.0026,-0.0045,1.0208
13,-0.0124,0.0040,1.0198
14,-0.0128,0.0148,1.0329
15,-0.0129,0.0154,1.0310
16,-0.0130,0.0049,1.0300
17,0.0023,-0.0040,1.0291
18,0.0085,0.0016,1.0250
19,-0.0157,0.0177,1.0197
20,-0.0201,0.0171,1.0408
21,-0.0091,0.0067,1.0411
22,0.0024,0.0023,1.0249
23,0.0161,0.0030,1.0009
24,-0.0137,0.0056,1.0146
25,-0.0149,0.0153,1.0253
26,-0.0259,0.0170,1.0427
27,0.0054,-0.0031,1.0329
28,-0.0058,0.0052,1.0266
29,0.0041,0.0020,1.0107
30,-0.0303,0.0171,1.0261
31,-0.0147,0.0041,1.0442
32,-0.0141,0.0107,1.0397
33,-0.0046,-0.0018,1.0185
34,-0.0024,0.0054,1.0040
35,0.0141,-0.0007,1.0188
36,-0.0121,0.0170,1.0299
37,-0.0154,0.0131,1.0454
38,-0.0062,0.0179,1.0362
39,-0.0001,0.0043,1.0300
40,-0.0142,0.0081,1.0178
41,0.0035,-0.0020,1.0172
42,-0.0134,0.0037,1.0227
43,-0.0234,0.0081,1.0357
44,-0.0092,0.0080,1.0286
45,-0.0095,0.0073,1.0346
46,-0.0004,-0.0068,1.0250
47,-0.0035,0.0009,1.0175
48,-0.0165,-0.0033,1.0178
49,-0.0316,0.0099,1.0389
50,-0.0080,0.0106,1.0386
51,-0.0162,0.0060,1.0305
52,0.0062,-0.0017,1.0146
53,-0.0158,0.0083,1.0196
54,-0.0212,0.0063,1.0335
55,-0.0229,0.0175,1.0421
56,0.0028,0.0057,1.0352
57,0.0077,0.0118,1.0153
58,0.0114,0.0050,1.0166
59,-0.0157,0.0161,1.0275
60,-0.0287,0.0178,1.0388
61,-0.0309,0.0164,1.0430
62,-0.0103,0.0117,1.0333
63,-0.0215,0.0165,1.0161
64,-0.0004,0.0060,1.0320
65,-0.0146,0.0109,1.0302
66,-0.0200,0.0078,1.0395
67,-0.0087,0.0097,1.0293
68,-0.0005,0.0023,1.0391
69,0.0040,0.0036,1.0316
70,0.0003,0.0051,1.0287
71,-0.0137,0.0097,1.0297
72,-0.0276,0.0084,1.0336
73,-0.0145,0.0163,1.0332
74,-0.0122,0.0100,1.0256
75,0.0027,0.0054,1.0196
76,-0.0009,0.0082,1.0241
77,-0.0063,0.0168,1.0270
78,-0.0187,0.0170,1.0513
79,-0.0001,0.0083,1.0383
80,0.0011,0.0160,1.0232
81,0.0218,-0.0016,1.0239
82,-0.0128,0.0118,1.0229
83,-0.0126,0.0099,1.0424
84,-0.0275,0.0190,1.0538
85,-0.0032,0.0013,1.0370
86,-0.0027,0.0058,1.0168
87,0.0119,0.0090,1.0014
88,-0.0198,0.0148,1.0154
89,-0.0231,0.0021,1.0455
90,-0.0145,0.0096,1.0432
91,-0.0056,0.0023,1.0326
92,0.0015,0.0029,1.0117
93,0.0016,0.0012,1.0225
94,-0.0186,0.0089,1.0143
95,-0.0274,0.0189,1.0401
96,-0.0062,0.0079,1.0408
97,0.0055,0.0087,1.0317
98,0.0049,0.0092,1.0131
99,0.0000,0.0092,1.0186
100,0.0002,0.0221,1.0239
101,-0.0134,0.0195,1.0353
102,-0.0032,0.0072,1.0394
103,0.0004,0.0008,1.0374
104,-0.0009,0.0065,1.0192
105,-0.0157,0.0054,1.0209
106,-0.0093,0.0059,1.0170
107,-0.0186,0.0071,1.0515
108,-0.0098,0.0057,1.0359
109,-0.0042,0.0030,1.0287
110,0.0106,0.0038,1.0215
111,-0.0089,0.0029,1.0251
112,-0.0128,0.0057,1.0221
113,-0.0243,0.0112,1.0460
114,-0.0009,0.0038,1.0295
115,0.0013,0.0057,1.0291
116,0.0546,0.0075,1.0046
117,0.2037,0.0130,1.0073
118,0.2792,0.0621,1.0659
119,0.2510,0.0490,1.0767
120,0.2146,0.0828,1.0591
121,0.2146,0.0828,1.0591
122,0.2231,0.0829,1.0550
123,0.3652,0.0801,1.0047
124,0.3246,0.1073,0.9700
125,0.2332,0.1138,0.9996
126,0.1567,0.1475,1.0811
127,0.1102,0.2390,1.1089
128,0.0834,0.3135,1.0932
129,-0.0089,0.3617,1.0295
130,-0.1777,0.3660,0.9445
131,-0.2737,0.2951,0.9063
132,-0.2045,0.2011,0.9473
133,-0.1435,0.1584,0.9866
134,-0.1367,0.1763,0.9747
135,-0.0864,0.1723,0.9807
136,0.0638,0.1273,1.0795
137,0.2402,0.0961,1.1281
138,0.4294,0.0748,1.1611
139,0.5176,0.0804,1.1222
140,0.4636,0.0957,1.0955
141,0.3713,0.0966,0.9872
142,0.3250,0.0048,0.9365
143,0.2437,-0.0151,0.9503
144,0.1705,0.0233,0.9240
145,0.1295,0.1002,0.9478
146,0.1832,0.1518,1.0513
147,0.1641,0.1909,1.1191
148,-0.0293,0.1899,1.1145
149,-0.3292,0.1121,1.0804
150,-0.3831,0.0370,1.0427
151,-0.3208,0.0162,0.9697
152,-0.1528,0.0032,0.9110
153,-0.0170,0.0164,0.9221
154,0.0211,0.0851,1.0105
155,-0.0126,0.1161,1.1110
156,0.0070,0.1308,1.2041
157,0.1960,0.0787,1.2060
158,0.4152,0.0754,1.0142
159,0.5490,0.0333,0.8914
160,0.4865,0.0503,0.9251
161,0.2394,0.0983,1.0283
162,0.0971,0.1396,1.0743
163,0.1125,0.1328,1.1419
164,0.2883,0.1465,1.0156
165,0.3132,0.1391,0.9147
166,0.0092,0.1528,0.9220
167,-0.2617,0.0522,0.9775
168,-0.1963,0.0089,1.0372
169,0.2137,-0.0012,1.0871
170,0.2922,0.0686,1.0488
171,-0.2584,0.1874,1.0398
172,-0.6752,0.1819,1.0417
173,-0.2089,0.1120,1.1664
174,0.5035,0.1533,1.1213
175,0.5677,0.1184,1.0411
176,-0.0535,0.1713,0.8032
177,-0.4669,0.0961,0.8157
178,0.2113,0.0200,1.0280
179,1.1608,0.1475,1.2060
180,0.4695,0.2047,1.1234
181,-0.1166,0.3289,0.8939
182,-0.1685,0.3026,0.9385
183,0.3983,0.1772,1.1881
184,0.7760,0.1299,1.1968
185,0.1757,-0.0046,0.9320
186,-0.2507,0.0311,0.8240
187,-0.2440,0.1151,0.9190
188,-0.0425,0.1655,1.1269
189,0.1851,0.0899,1.1843
190,0.1899,0.1401,1.1195
191,-0.4326,0.2752,0.8885
192,-0.4695,0.1365,1.0527
193,0.3992,-0.0611,1.2451
194,0.3810,-0.0469,0.9937
195,-0.1931,-0.0500,0.7975
196,-0.1998,0.0049,0.8342
197,0.1829,0.1717,1.0735
198,0.4463,0.1788,1.0536
199,0.4697,0.0009,1.1550
200,0.0869,0.0048,1.1230
201,-0.1108,0.1397,0.9072
202,0.2980,0.0492,1.0880
203,0.4462,-0.0721,1.3214
204,0.2847,0.0109,0.8608
205,-0.0459,0.1196,0.7498
206,-0.2154,0.1091,1.1771
207,-0.0982,0.2190,1.2465
208,0.1766,0.2759,1.0626
209,0.2862,0.2054,1.0496
210,0.0246,0.2268,0.8428
211,-0.4006,0.2865,0.8180
212,-0.1916,0.0928,0.9714
213,0.3247,-0.0477,1.1169
214,0.3829,0.1169,1.0885
215,0.3003,0.2627,0.8302
216,-0.0377,0.2705,0.9507
217,-0.1801,0.1541,1.3105
218,0.3507,0.1055,1.1572
219,0.4807,0.1064,1.1568
220,0.5109,0.1515,1.1057
221,0.1975,0.1870,0.8374
222,-0.3608,0.1658,0.8303
223,0.1893,-0.0579,1.0265
224,0.5671,0.0464,1.0991
225,0.2908,0.1733,1.0200
226,-0.1649,0.2051,0.9302
227,-0.7860,0.1351,1.0124
228,0.1469,-0.0488,1.0710
229,0.6230,0.0060,1.1143
230,0.2780,0.0169,1.0248
231,-0.2775,0.1461,0.9473
232,-0.7296,0.1818,0.9906
233,0.1384,0.1096,1.2966
234,0.7850,0.1641,1.1208
235,0.4082,0.0876,0.8736
236,-0.4202,0.1736,0.7689
237,-0.4838,0.2006,0.9295
238,0.2388,0.2101,1.2187
239,0.9518,0.0868,1.1044
240,0.4404,0.0322,0.9288
241,-0.2551,0.1098,0.8675
242,-0.3452,0.2967,1.0986
243,0.2378,0.2192,1.3013
244,0.5512,0.1172,1.1857
245,0.0509,0.0186,0.8333
246,-0.3969,0.1026,0.7835
247,-0.1796,0.1384,0.9637
248,0.4581,0.0400,1.2286
249,0.3085,0.0223,1.0182
250,-0.0439,0.0662,1.0332
251,-0.1302,0.2864,0.8929
252,0.1673,0.2476,1.2092
253,0.2458,0.0556,1.0870
254,0.2908,-0.1157,1.0912
255,0.2357,0.0461,0.8530
256,0.1432,0.1271,0.9528
257,-0.0806,0.0225,1.1248
258,0.1056,-0.0180,1.1666
259,0.3380,0.1348,0.9456
260,0.1572,0.2877,0.9316
261,0.0274,0.2668,1.1785
262,-0.0157,0.2808,1.0895
263,0.1296,0.2214,1.0217
264,0.1166,0.0582,0.8576
265,-0.1149,0.0190,1.0466
266,0.0143,0.0941,0.9182
267,0.1472,0.2692,0.9915
268,0.1030,0.1920,1.0729
269,0.0798,0.3013,1.2197
270,0.0571,0.3066,1.0344
271,0.0274,0.1870,0.9246
272,-0.0104,-0.0967,1.0605
273,0.2585,-0.1347,1.0156
274,0.1326,0.0197,0.8666
275,0.0928,0.0287,1.0730
276,0.2008,0.1785,1.1499
277,0.1763,0.2468,1.0921
278,0.1166,0.1713,0.9715
279,0.0556,-0.0142,1.1866
280,-0.0141,0.0102,1.0933
281,0.0490,0.0888,0.8234
282,0.1412,0.0984,0.9612
283,0.1460,0.1057,1.1234
284,0.1460,0.1057,1.1234
285,0.0555,0.1819,0.9114
286,0.0178,0.1359,0.9596
287,0.1142,0.0863,1.1975
288,0.0139,0.1870,1.0828
289,0.0984,0.2883,0.9319
290,0.1747,0.1932,1.0527
291,0.0372,0.1254,0.9583
292,-0.1044,0.0815,0.8992
293,0.1348,-0.0247,1.0281
294,0.1053,0.0150,1.0961
295,0.0684,0.1062,1.1288
296,0.2079,0.2456,1.0688
297,0.2018,0.1982,1.0959
298,0.1597,0.0916,1.1585
299,0.0853,0.0730,0.9815
300,-0.0603,0.0027,0.9288
301,0.0461,0.0483,0.9492
302,0.1725,0.1597,0.9795
303,0.1343,0.1756,0.9578
304,0.1343,0.1756,0.9578
305,-0.0522,0.1251,1.0565
306,-0.1064,0.1658,1.0944
307,0.1917,0.1696,1.0598
308,0.3299,0.1830,1.0742
309,0.2083,0.1686,0.9888
310,-0.0275,0.0659,0.8926
311,-0.0228,-0.0040,0.9534
312,0.1437,-0.0051,1.0759
313,0.3359,0.0693,1.0499
314,0.3073,0.1617,1.0552
315,0.1611,0.1248,1.0188
316,-0.1448,0.0812,0.9904
317,-0.1153,0.0508,1.2034
318,0.1000,0.0095,1.0804
319,0.1772,0.0436,0.9923
320,0.1054,0.1074,0.8939
321,-0.0065,0.0592,0.9557
322,-0.1726,0.0226,1.1403
323,0.0817,0.1152,1.1023
324,0.2809,0.1851,1.0709
325,-0.0593,0.2573,1.0674
326,-0.1224,0.2212,0.9977
327,-0.0519,0.1005,0.8920
328,0.1112,0.0236,0.9240
329,0.3002,0.0412,1.0662
330,0.1010,0.2151,1.0804
331,-0.0165,0.2343,0.9998
332,0.0756,0.1310,1.0472
333,0.1899,0.1501,1.0519
334,0.4106,0.1574,1.0034
335,0.2266,0.2170,1.1414
336,0.1060,0.2006,1.1946
337,-0.0323,0.1281,0.9285
338,0.0282,0.0749,0.8787
339,0.4754,-0.1545,0.8854
340,0.2200,-0.0082,0.9994
341,-0.1556,0.1795,1.0085
342,-0.1726,0.2195,1.1406
343,0.2226,0.0518,1.3302
344,0.4214,0.1318,1.1058
345,0.1299,0.0713,0.9460
346,-0.2180,0.0811,0.9272
347,-0.3525,0.0580,0.9779
348,0.2482,0.0521,0.9152
349,0.5453,0.0192,0.9899
350,-0.0508,0.0853,0.8898
351,-0.2084,0.1420,0.8953
352,-0.1498,0.1631,0.9980
353,0.2397,0.0766,1.2553
354,0.4556,0.1182,1.0856
355,0.2143,-0.0390,1.0298
356,-0.2604,0.0065,0.9288
357,-0.1511,0.0453,1.1067
358,0.1432,0.0713,1.1500
359,0.5132,0.0924,1.2484
360,0.3033,0.1720,1.0610
361,-0.2603,0.2071,0.9495
362,-0.2519,0.1893,0.9990
363,0.3502,0.1740,1.0221
364,0.4148,0.0944,0.9407
365,-0.1924,0.1421,0.8044
366,-0.2354,0.1596,1.0308
367,0.1142,0.1871,1.0535
368,0.5151,0.0872,1.0964
369,0.3203,0.0392,1.0256
370,-0.1170,0.1730,0.8986
371,-0.1829,0.2145,1.1143
372,0.2599,0.1436,1.1374
373,0.3276,-0.0153,1.0186
